,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
,,,North America,,"117,255,163",,"1,547,054",,"112,560,982","+2,475","3,147,127","7,706",,,,,,North America,,,,,,,,
,,,Asia,,"191,939,116","+33,440","1,484,215",+5,"185,959,514","+31,999","4,495,387","9,528",,,,,,Asia,,,,,,,,
,,,Europe,,"231,671,114",,"1,930,872",,"224,036,828","+28,289","5,703,414","10,056",,,,,,Europe,,,,,,,,
,,,South America,,"64,268,411",,"1,331,534",,"62,578,553","+1,544","358,324","10,165",,,,,,South America,,,,,,,,
,,,Oceania,,"12,514,512","+1,087","21,352",+12,"12,313,681",,"179,479",91,,,,,,Australia/Oceania,,,,,,,,
,,,Africa,,"12,659,954",,"257,742",,"11,998,118",,"404,094","1,000",,,,,,Africa,,,,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,,,,
,,World,"630,308,991","+34,527","6,572,784",+17,"609,448,382","+64,306","14,287,825","38,546","80,863",843.2,,,,All,,,,,,,,
,122,Namibia,"169,253",,"4,065 ",,"164,813",,375,,"64,260","1,543","1,062,663","403,460","2,633,874 ",Africa,166482,,,142,
,123,Jamaica,"151,931",,"3,320 ",,"99,392",,"49,219",,"50,897","1,112","1,183,986","396,633","2,985,094 ",North America,208993,,,"16,488",
,124,Cambodia,"137,970",,"3,056 ",,"134,844",,70,,"8,036",178,"3,071,982","178,930","17,168,639 ",Asia,"1245,6186",,,4,
,125,Rwanda,"132,530",,"1,467 ",,"131,027",,36,,"9,745",108,"5,841,019","429,472","13,600,464 ",Africa,"1039,2712",,,3,
,126,Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"4,358",69,"1,751,774","62,762","27,911,548 ",Africa,"22914,42516",,,39,
,127,Malta,"115,036",,806 ,,"113,514",,716,4,"259,071","1,815","2,070,158","4,662,172","444,033 ",Europe,45510,,,"1,612",
,128,Angola,"103,131",,"1,917 ",,"101,155",,59,,"2,944",55,"1,499,795","42,818","35,027,343 ",Africa,"34018,27223",,,2,
,129,Barbados,"103,014",,560 ,,"102,024",,430,,"357,659","1,944","770,100","2,673,745","288,023 ",North America,35140,,,"1,493",
,130,French Guiana,"94,073",,410 ,,"11,254",,"82,409",3,"299,434","1,305","651,257","2,072,951","314,169 ",South America,37660,,,"262,308",
,131,DRC,"92,972",,"1,444 ",,"83,522",,"8,006",,976,15,"846,704","8,890","95,240,792 ",Africa,"1,02465,956112",,,84,
,132,Channel Islands,"92,884",,204 ,,"91,820",,860,,"526,365","1,156","1,252,808","7,099,551","176,463 ",Europe,28650,,,"4,874",
,133,Senegal,"88,555",,"1,968 ",,"86,486",,101,,"5,016",111,"1,146,543","64,946","17,653,671 ",Africa,"1998,97015",,,6,
,134,Malawi,"88,057",,"2,682 ",,"84,973",,402,67,"4,363",133,"618,640","30,655","20,180,839 ",Africa,"2297,52533",,,20,
,135,Ivory Coast,"87,602",,827 ,,"86,720",,55,,"3,158",30,"1,637,138","59,012","27,742,298 ",Africa,"31733,54617",,,2,
,136,Suriname,"81,131",,"1,385 ",,N/A,N/A,N/A,,"135,936","2,321","239,280","400,918","596,831 ",South America,74312,,,"50,458",
,137,French Polynesia,"76,706",,649 ,,N/A,N/A,N/A,7,"269,936","2,284",,,"284,164 ",Australia/Oceania,4438,,,"149,762",
,138,New Caledonia,"74,210",,314 ,,"73,884",,12,9,"255,092","1,079","98,964","340,182","290,915 ",Australia/Oceania,49263,,,41,
,139,Eswatini,"73,436",,"1,422 ",,"71,973",,41,,"61,981","1,200","1,045,903","882,755","1,184,817 ",Africa,168331,,,35,
,140,Guyana,"71,404",,"1,281 ",,"70,077",,46,,"89,924","1,613","699,003","880,307","794,045 ",South America,116201,,,58,
,141,Belize,"68,926",,687 ,,"68,215",,24,6,"167,219","1,667","576,016","1,397,453","412,190 ",North America,66001,,,58,
,142,Fiji,"68,248",,878 ,,"66,307",,"1,063",,"75,042",965,"663,351","729,385","909,466 ",Australia/Oceania,"131,0361",,,"1,169",
,143,Madagascar,"66,687",,"1,410 ",,"65,267",,10,,"2,286",48,"512,993","17,581","29,178,077 ",Africa,"43820,69457",,,0.3,
,144,Sudan,"63,449",,"4,964 ",,"57,511",,974,,"1,380",108,"562,941","12,240","45,992,020 ",Africa,"7259,26582",,,21,
,145,Mauritania,"63,110",,995 ,,"61,898",,217,,"12,874",203,"984,105","200,757","4,901,981 ",Africa,"784,9275",,,44,
