#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,Africa,,"12,659,055",957,"257,739",3,"11,997,626",311,"403,690","1,000",,,,,,Africa,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,
,World,"629,704,763","279,521","6,571,022",648,"608,686,148","336,097","14,447,593","38,645","80,785",843,,,,All,,,,,,
1,China,"255,529",361,"5,226",,"245,740",254,"4,563",17,178,4,"160,000,000","111,163","1,439,323,776",Asia,"56,332,754,169",0.3,,3,,
2,USA,"98,842,668","10,897","1,090,528",70,"96,105,543","50,009","1,646,597","2,671","294,920","3,254","1,123,775,929","3,353,045","335,150,851",North America,33070,33,0.2,"4,913",,
3,India,"44,628,828","2,401","528,895",21,"44,073,308","2,373","26,625",698,"31,629",375,"897,877,536","636,335","1,411,014,280",Asia,"3,226,682",2,0.01,19,,
4,France,"36,216,634","55,394","155,816",,"35,001,230","31,286","1,059,588",869,"552,053","2,375","271,490,188","4,138,350","65,603,494",Europe,24210,844,,"16,151",,
5,Brazil,"34,791,770","3,270","687,195",9,"33,953,433",,"151,142","8,318","161,064","3,181","63,776,166","295,243","216,012,413",South America,63143,15,0.04,700,,
6,Germany,"34,608,835",,"151,420",,"32,877,400","19,100","1,580,015","1,406","410,077","1,794","122,332,384","1,449,504","84,396,040",Europe,25571,,,"18,721",,
7,S. Korea,"25,098,996","22,757","28,808",25,"24,644,880","39,332","425,308",245,"488,593",561,"15,804,065","307,652","51,369,980",Asia,"217,833",443,0.5,"8,279",,
8,UK,"23,798,793",,"191,681",,"23,410,472","2,713","196,640",146,"346,412","2,790","522,526,476","7,605,819","68,700,880",Europe,33580,,,"2,862",,
9,Italy,"23,069,745","38,968","177,956",73,"22,339,297","29,169","552,492",252,"382,845","2,953","249,896,478","4,147,056","60,258,762",Europe,33390,647,1,"9,169",,
10,Japan,"21,727,933","35,138","45,823",67,"20,448,998","6,490","1,233,112",118,"173,004",365,"76,201,407","606,737","125,592,241",Asia,"627,412",280,0.5,"9,818",,
11,Russia,"21,292,200","13,384","388,807",98,"20,585,404","26,130","317,989","2,300","145,760","2,662","273,400,000","1,871,610","146,077,407",Europe,73761,92,0.7,"2,177",,
12,Turkey,"16,919,638",,"101,203",,"16,801,923","3,302","16,512",,"195,799","1,171","162,743,369","1,883,312","86,413,372",Asia,58541,,,191,,
13,Spain,"13,462,593",,"114,641",,"13,257,857",,"90,095",339,"287,686","2,450","471,036,328","10,065,708","46,796,147",Europe,34080,,,"1,925",,
14,Vietnam,"11,492,273",732,"43,155",,"10,598,733",289,"850,385",53,"115,686",434,"85,826,548","863,966","99,340,246",Asia,"923,021",7,,"8,560",,
